Customer ID,Recency,Frequency,Monetary_Total,Monetary_Average,Total_Quantity,Average_Basket_Size,Average_Order_Value,Unique_Products,Average_Purchase_Gap,Customer_Lifespan_Days,Country,Return_Rate,Price_Sensitivity,Historical_Revenue,Predicted_CLV,Engagement_Score,Churn
12346,133,17,-51.74000000000524,-1.1008510638298987,53,1.127659574468085,-3.043529411765014,30,24.5625,400,United Kingdom,27.659574468085108,603.3887382978722,-51.74000000000524,-47.0950124688327,28.875689859528165,1
12347,54,4,2434.96,19.636774193548387,1626,13.112903225806452,608.74,90,52.0,157,Iceland,0.0,4.6017464135851025,2434.96,5625.065822784811,32.61052096198418,0
12348,56,4,1709.4,35.612500000000004,2497,52.020833333333336,427.35,25,63.0,189,Finland,0.0,92.67146595744681,1709.4,3283.847368421053,32.42848748373415,1
12349,215,4,2646.99,24.73822429906542,988,9.233644859813085,661.7475,92,108.66666666666667,327,Italy,4.672897196261682,935.3264287779932,2646.99,2945.5833841463414,22.798975424650006,1
12350,118,1,334.4,19.670588235294115,197,11.588235294117647,334.4,17,0.0,0,Norway,0.0,87.13757352941178,334.4,122055.99999999999,28.23129725597506,1
12351,183,1,300.93,14.33,261,12.428571428571429,300.93,21,0.0,0,Unspecified,0.0,7.48434619047619,300.93,109839.45,24.260278568841414,1
12352,70,10,944.98,14.317878787878788,376,5.696969696969697,94.498,38,14.333333333333334,130,Norway,15.151515151515152,6988.804676200468,944.98,2632.959541984733,32.107658249775376,1
12353,12,2,406.76,16.948333333333334,212,8.833333333333334,203.38,23,204.0,204,Bahrain,0.0,6.435005797101448,406.76,724.2312195121951,34.808083360291384,1
12354,40,1,1079.4,18.610344827586207,530,9.137931034482758,1079.4,58,0.0,0,Spain,0.0,18.859960798548098,1079.4,366939.9750000006,33.054741174299245,1
12355,22,2,947.61,27.074571428571428,543,15.514285714285714,473.805,35,353.0,353,Bahrain,0.0,8.306593781512603,947.61,977.0555084745763,34.24225852529339,1
12356,53,5,6313.38,45.09557142857143,3411,24.364285714285714,1262.676,104,44.25,179,Portugal,0.0,17.01264069886947,6313.38,12802.131666666668,33.091442228771236,1
12357,196,2,12079.99,73.2120606060606,3879,23.509090909090908,6039.995,165,0.0,0,Switzerland,0.0,4352.686082867701,12079.99,366939.9750000006,24.539114713509605,1
12358,183,3,2719.01,46.879482758620696,831,14.327586206896552,906.3366666666667,52,177.5,356,Austria,0.0,31.26129452510587,2719.01,2779.9401960784317,24.65902395115329,0
12359,48,11,4819.97,22.008995433789956,1519,6.936073059360731,438.1790909090909,192,49.0,494,Cyprus,2.73972602739726,370.1572345481964,4819.97,3554.119292929293,33.870347470685495,0
12360,8,7,2634.41,19.659776119402984,1727,12.888059701492537,376.3442857142857,108,75.33333333333333,455,Austria,0.7462686567164178,57.57700561665357,2634.41,2108.683442982456,35.73380638028611,0
12361,95,4,511.25,17.629310344827587,235,8.10344827586207,127.8125,18,131.0,394,Belgium,0.0,20.779913793103447,511.25,472.4208860759494,29.948564444709376,1
12362,33,4,1099.44,18.634576271186443,503,8.525423728813559,274.86,52,170.66666666666666,512,Belgium,3.389830508474576,281.34335523085906,1099.44,782.2526315789474,33.78225442634248,0
12363,50,1,299.1,18.69375,282,17.625,299.1,16,0.0,0,Unspecified,0.0,8.047625,299.1,109171.50000000001,32.37978552520256,0
12365,99,3,320.69,13.94304347826087,173,7.521739130434782,106.89666666666666,22,0.0,0,Cyprus,4.3478260869565215,8399.359817786562,320.69,117051.85,29.589120905366695,1
12366,441,1,500.24,166.74666666666667,296,98.66666666666667,500.24,3,0.0,0,Cyprus,0.0,0.0,500.24,182587.6,8.525826400832988,1
12368,436,1,917.6999999999999,50.98333333333333,330,18.333333333333332,917.6999999999999,18,0.0,0,Cyprus,0.0,16.914779411764705,917.6999999999999,334960.5,8.86556011043075,1
12369,221,3,1791.15,19.25967741935484,1241,13.344086021505376,597.0500000000001,90,113.5,228,Austria,0.0,49.04570970079477,1791.15,2854.8897379912664,22.262477709539123,1
12370,82,6,3577.28,20.67791907514451,2224,12.855491329479769,596.2133333333334,150,78.6,394,Cyprus,0.0,35.2615500470493,3577.28,3305.587848101266,31.194483166178042,1
12371,217,3,2179.42,20.95596153846154,845,8.125,726.4733333333334,91,117.5,235,Switzerland,0.0,41.720083859223315,2179.42,3370.7131355932206,22.538750179595706,1
12372,20,2,914.9200000000001,23.45948717948718,592,15.179487179487179,457.46000000000004,32,83.0,83,Denmark,0.0,15.951325641025637,914.9200000000001,3975.545238095239,34.361658358771564,1
12373,119,3,1127.65,22.110784313725492,516,10.117647058823529,375.8833333333334,36,180.5,362,Austria,0.0,83.39273137254902,1127.65,1133.8629476584024,28.434776916129522,1
12374,229,3,2246.29,44.9258,1020,20.4,748.7633333333333,47,83.0,166,Austria,0.0,30.53903432653061,2246.29,4909.5559880239525,21.811673102551705,1
12376,197,2,503.15,38.70384615384615,240,18.46153846153846,251.575,11,28.0,28,Switzerland,0.0,202.95689102564106,503.15,6332.749999999999,23.521784159033135,1
12377,123,4,3426.32,22.54157894736842,2105,13.848684210526315,856.58,129,91.0,274,Switzerland,0.0,22.598668804461486,3426.32,4547.6610909090905,28.479955955044016,1
12378,370,1,1407.7,17.167073170731708,787,9.597560975609756,1407.7,82,0.0,0,Switzerland,0.0,48.91687342667872,1407.7,366939.9750000006,12.935339558050911,0
12379,230,2,767.98,18.73121951219512,408,9.951219512195122,383.99,37,112.0,112,Belgium,0.0,10.455630975609756,767.98,2480.643362831858,21.52900786893757,0
12380,189,10,5167.44,29.030561797752807,2199,12.353932584269662,516.7439999999999,119,31.0,281,Belgium,2.8089887640449436,25596.441036031225,5167.44,6688.353191489362,25.19148840282452,0
12382,490,1,-18.38,-18.38,-1,-1.0,-18.38,1,0.0,0,Netherlands,100.0,0.0,-18.38,-6708.7,5.4915338962226246,1
12383,46,5,1739.86,18.31431578947368,1509,15.884210526315789,347.972,82,28.0,113,Belgium,1.0526315789473684,13.803775856662932,1739.86,5570.604385964912,33.141006665964106,0
12385,187,2,1923.4,29.142424242424244,611,9.257575757575758,961.7,65,0.0,0,Belgium,1.5151515151515151,12.355725524475524,1923.4,366939.9750000006,24.24960153047964,1
